category,cost,is_free,is_official,latitude,location.state,longitude,event_date,repeat_times,has_image,description_words,duration,day_of_week,time,is_attractive,city
fashion,,True,False,40.7238735,NY,-73.99774740000002,2018-01-18,1,False,26,0,Thurs,afternoon,False,New York
other,50.0,False,False,40.7445201,NY,-73.9893102,2018-01-18,1,True,28,0,Thurs,afternoon,False,New York
charities,20.0,False,False,40.721588,NY,-73.958377,2018-01-18,1,True,27,0,Thurs,evening,False,Brooklyn
other,,True,False,40.731370743568,NY,-73.98318647280401,2018-01-18,1,False,26,0,Thurs,evening,True,New York
nightlife,0.0,False,False,40.7085891,NY,-74.01362759999998,2018-01-18,1,True,30,0,Thurs,evening,False,New York
nightlife,,True,False,40.710437,NY,-73.953916,2018-01-18,1,True,26,0,Thurs,evening,False,Brooklyn
nightlife,,True,False,40.7258722,NY,-73.983406,2018-01-19,4,False,29,0,Fri,morning,True,New York
other,29.0,False,False,40.7349014,NY,-73.9884215,2018-01-19,1,True,23,0,Fri,afternoon,True,New York
visual-arts,,True,False,40.6514774,NY,-74.0140878,2018-01-19,1,True,24,0,Fri,evening,False,Brooklyn
film,29.0,False,False,40.7202788,NY,-73.9984062,2018-01-19,1,True,26,0,Fri,evening,False,New York
music,,True,False,40.6749687,NY,-73.97597809999998,2018-01-19,1,True,30,0,Fri,evening,False,Brooklyn
music,15.0,False,False,40.7221151,NY,-73.9576675,2018-01-19,1,True,6,0,Fri,evening,False,Brooklyn
kids-family,,True,False,40.729297,NJ,-74.044512,2018-01-20,1,True,26,0,Sat,morning,False,Jersey City
performing-arts,,True,False,40.7191395,NY,-74.0060905,2018-01-20,1,False,23,0,Sat,afternoon,False,New York
other,30.0,False,False,40.73718579999999,NY,-73.98747940000001,2018-01-20,1,True,28,0,Sat,evening,False,New York
performing-arts,26.0,False,False,40.7229511,NY,-73.9832728,2018-01-20,1,True,25,21,Sat,evening,True,New York
performing-arts,40.0,False,False,40.731370743568,NY,-73.98318647280401,2018-01-20,1,True,29,0,Sat,evening,False,New York
nightlife,20.0,False,False,40.7440395,NY,-73.98812579999998,2018-01-20,1,True,26,0,Sat,evening,True,New York
music,41.0,False,False,40.7348999,NY,-73.9883747,2018-01-20,1,True,30,0,Sat,evening,False,New York
other,250.0,False,False,40.68131939999999,NY,-74.00422569999998,2018-01-21,1,True,26,0,Sun,morning,False,Brooklyn
other,250.0,False,False,40.68131939999999,NY,-74.00422569999998,2018-01-21,1,True,28,0,Sun,morning,True,Brooklyn
other,,True,False,40.7092002302021,NJ,-74.0399466756692,2018-01-21,1,True,21,0,Sun,morning,False,Jersey City
performing-arts,,True,False,40.6861547,NY,-73.9773518,2018-01-21,1,True,26,0,Sun,afternoon,False,Brooklyn
other,150.0,False,False,40.68131939999999,NY,-74.00422569999998,2018-01-21,1,True,26,0,Sun,afternoon,False,Brooklyn
food-and-drink,130.0,False,False,40.74715850000001,NY,-73.9899532,2018-01-21,1,True,25,0,Sun,afternoon,True,New York
performing-arts,,True,False,40.7288609,NY,-74.00010520000002,2018-01-21,1,True,26,0,Sun,afternoon,False,New York
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2018-01-22,1,True,28,0,Mon,evening,True,Brooklyn
performing-arts,,True,False,40.7210244,NY,-73.9877377,2018-01-22,1,True,25,0,Mon,evening,False,New York
other,5.0,False,False,40.7450743,NY,-73.9934315,2018-01-23,1,True,24,0,Tues,morning,False,New York
charities,10.0,False,False,40.7073937,NY,-74.0098651,2018-01-23,1,True,26,0,Tues,afternoon,False,New York
performing-arts,,True,False,40.7156001,NY,-74.011751,2018-01-23,1,True,26,0,Tues,afternoon,True,New York
other,,True,False,40.7280862,NY,-73.99331020000002,2018-01-23,1,True,26,0,Tues,afternoon,True,New York
lectures-books,10.0,False,False,40.7065671,NY,-74.0037097,2018-01-23,1,False,26,0,Tues,afternoon,False,New York
performing-arts,,True,False,40.7265315,NY,-74.0043743,2018-01-23,1,True,27,0,Tues,evening,False,New York
lectures-books,,True,False,40.6869153,NY,-73.98558680000002,2018-01-24,1,True,25,0,Wed,afternoon,False,Brooklyn
other,,True,False,40.74822661393571,NY,-73.98782412691871,2018-01-24,1,True,27,0,Wed,afternoon,False,New York
film,7.0,False,False,40.7246322,NY,-73.9900275,2018-01-24,1,True,25,0,Wed,afternoon,False,New York
performing-arts,,True,False,40.7226519,NY,-73.9863316,2018-01-24,1,True,22,0,Wed,evening,False,New York
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2018-01-24,1,True,29,0,Wed,evening,True,Brooklyn
nightlife,,False,False,40.7499875,NY,-74.0027094,2018-01-24,1,True,28,0,Wed,evening,False,New York
music,,False,False,40.7499875,NY,-74.0027094,2018-01-25,1,True,28,0,Thurs,evening,False,New York
other,10.0,False,False,40.7450743,NY,-73.9934315,2018-01-25,1,True,27,0,Thurs,afternoon,False,New York
fashion,,True,False,40.722342243530896,NY,-73.9992253503307,2018-01-25,1,False,28,0,Thurs,afternoon,False,New York
other,100.0,False,False,40.725645,NY,-74.0028193,2018-01-25,1,True,28,0,Thurs,afternoon,True,New York
other,15.0,False,False,40.739580200000006,NY,-74.00735829999998,2018-01-25,1,True,26,0,Thurs,afternoon,True,New York
music,10.0,False,False,40.7220265,NY,-73.9591725,2018-01-25,1,True,25,0,Thurs,evening,False,Brooklyn
nightlife,,False,False,40.7440881,NY,-74.00644670000001,2018-01-26,1,True,9,0,Fri,night,False,New York
food-and-drink,20.0,False,False,40.74986420000001,NY,-73.98535600000002,2018-01-26,1,True,23,0,Fri,afternoon,False,New York
music,15.0,False,False,40.7229151,NJ,-74.04445940000002,2018-01-26,1,True,25,0,Fri,evening,False,Jersey City
performing-arts,12.0,False,False,40.720609,NY,-73.992819,2018-01-26,1,True,25,0,Fri,evening,False,New York
music,,False,False,40.7494549,NY,-73.9942662,2018-01-26,1,True,5,0,Fri,evening,True,New York
nightlife,,True,False,40.7258722,NY,-73.983406,2018-01-26,1,True,30,0,Fri,evening,False,New York
kids-family,29.0,False,False,40.671444,NY,-73.98477,2018-01-26,1,True,23,0,Fri,evening,True,Brooklyn
nightlife,,True,False,40.749968,NY,-73.9848,2018-01-26,1,True,25,0,Fri,evening,False,New York
nightlife,,False,False,40.7499875,NY,-74.0027094,2018-01-26,1,True,12,0,Fri,evening,False,New York
kids-family,,True,False,40.7211164,NJ,-74.0470491,2018-01-27,1,True,23,15,Sat,evening,False,Jersey City
other,,True,False,40.6712969411348,NY,-74.01130914688109,2018-01-27,1,False,30,1,Sat,morning,True,Brooklyn
fashion,19.0,False,False,40.7486711,NY,-73.9946198,2018-01-27,2,True,27,0,Sat,morning,True,New York
food-and-drink,19.0,False,False,40.656469,NY,-74.00841109999998,2018-01-27,1,True,25,0,Sat,morning,True,Brooklyn
kids-family,,True,False,40.7081354,NY,-74.0039452,2018-01-27,1,True,25,0,Sat,morning,False,New York
lectures-books,5.0,False,False,40.6979862,NY,-73.99179079999998,2018-01-27,1,True,22,0,Sat,afternoon,True,Brooklyn
nightlife,25.0,False,False,40.7481973,NY,-73.99122120000001,2018-01-27,1,True,27,0,Sat,evening,False,New York
performing-arts,100.0,False,False,40.7341002,NJ,-74.04451740000002,2018-01-27,1,True,24,0,Sat,evening,True,Jersey City
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2018-01-27,1,True,27,0,Sat,evening,True,Brooklyn
performing-arts,8.0,False,False,40.67604160000001,NY,-73.9801243,2018-01-27,1,True,23,0,Sat,evening,False,Brooklyn
nightlife,75.0,False,False,40.7313393,NY,-73.98899449999998,2018-01-27,1,True,26,0,Sat,evening,False,New York
nightlife,,False,False,40.7499875,NY,-74.0027094,2018-01-27,1,True,25,0,Sat,evening,False,New York
visual-arts,,False,False,40.7230163,NY,-73.9822869,2018-01-28,1,False,23,0,Sun,evening,False,New York
sports-active-life,35.0,False,False,40.72075200000001,NJ,-74.045175,2018-01-28,1,True,29,0,Sun,morning,False,Jersey City
charities,,False,False,40.7483008978855,NY,-74.0082042796844,2018-01-28,1,True,28,0,Sun,morning,True,New York
kids-family,,True,False,40.7365645,NY,-74.0092941,2018-01-28,1,True,25,0,Sun,morning,False,New York
sports-active-life,39.0,False,False,40.749215,NY,-73.983023,2018-01-28,1,True,24,0,Sun,afternoon,False,New York
food-and-drink,,True,False,40.7480127,NY,-73.985845,2018-01-28,1,True,27,0,Sun,afternoon,False,New York
nightlife,,True,False,40.713,NY,-74.0072,2018-01-29,1,True,25,0,Mon,evening,False,New York
music,,True,False,40.713,NY,-74.0072,2018-01-29,1,False,22,0,Mon,evening,False,New York
food-and-drink,,True,False,40.71882,NY,-73.986863,2018-01-29,1,True,27,0,Mon,evening,False,New York
charities,75.0,False,False,40.7472104,NY,-73.9899179,2018-01-29,1,True,22,0,Mon,evening,True,New York
performing-arts,,True,False,40.6786723207026,NY,-73.9589714418068,2018-01-29,1,True,26,0,Mon,evening,False,Brooklyn
performing-arts,,True,False,40.7230068,NY,-73.986042,2018-01-29,1,True,31,0,Mon,evening,True,New York
